Product	Month	Year	Location	TargetSales
LIEFMANS	July	2012	PUN	5
LIEFMANS	July	2012	GGN	5
LIEFMANS	July	2012	GOA	0
LIEFMANS	July	2012	CDG	0
LIEFMANS	July	2012	RAJ	0
LIEFMANS	July	2012	KOL	0
CHIMAY	July	2012	DEL	75
CHIMAY	July	2012	MUM	10
CHIMAY	July	2012	PUN	10
CHIMAY	July	2012	GGN	10
CHIMAY	July	2012	GOA	0
CHIMAY	July	2012	CDG	10
CHIMAY	July	2012	RAJ	0
CHIMAY	July	2012	KOL	0
WEIHENSTEPHANER	July	2012	DEL	75
WEIHENSTEPHANER	July	2012	MUM	15
WEIHENSTEPHANER	July	2012	PUN	10
WEIHENSTEPHANER	July	2012	GGN	10
WEIHENSTEPHANER	July	2012	GOA	0
WEIHENSTEPHANER	July	2012	CDG	0
WEIHENSTEPHANER	July	2012	RAJ	0
WEIHENSTEPHANER	July	2012	KOL	0
FRUEH	July	2012	DEL	75
FRUEH	July	2012	MUM	15
FRUEH	July	2012	PUN	10
FRUEH	July	2012	GGN	10
FRUEH	July	2012	GOA	0
FRUEH	July	2012	CDG	10
FRUEH	July	2012	RAJ	0
FRUEH	July	2012	KOL	0
ESTRELLA DAMM	July	2012	DEL	100
ESTRELLA DAMM	July	2012	MUM	40
ESTRELLA DAMM	July	2012	PUN	25
ESTRELLA DAMM	July	2012	GGN	35
ESTRELLA DAMM	July	2012	GOA	50
ESTRELLA DAMM	July	2012	CDG	20
ESTRELLA DAMM	July	2012	RAJ	0
ESTRELLA DAMM	July	2012	KOL	40
BROOKLYN LAGER	July	2012	DEL	150
BROOKLYN LAGER	July	2012	MUM	15
BROOKLYN LAGER	July	2012	PUN	15
BROOKLYN LAGER	July	2012	GGN	10
BROOKLYN LAGER	July	2012	GOA	0
BROOKLYN LAGER	July	2012	CDG	0
BROOKLYN LAGER	July	2012	RAJ	0
BROOKLYN LAGER	July	2012	KOL	0
BROOKLYN IPA	July	2012	DEL	75
BROOKLYN IPA	July	2012	MUM	15
BROOKLYN IPA	July	2012	PUN	15
BROOKLYN IPA	July	2012	GGN	10
BROOKLYN IPA	July	2012	GOA	0
BROOKLYN IPA	July	2012	CDG	0
BROOKLYN IPA	July	2012	RAJ	0
BROOKLYN IPA	July	2012	KOL	30
SAISON DUPONT	July	2012	DEL	0
SAISON DUPONT	July	2012	MUM	0
SAISON DUPONT	July	2012	PUN	0
SAISON DUPONT	July	2012	GGN	0
SAISON DUPONT	July	2012	GOA	0
SAISON DUPONT	July	2012	CDG	0
SAISON DUPONT	July	2012	RAJ	0
SAISON DUPONT	July	2012	KOL	0
DUVEL	Aug	2012	DEL	125
DUVEL	Aug	2012	MUM	15
DUVEL	Aug	2012	PUN	10
DUVEL	Aug	2012	GGN	10
DUVEL	Aug	2012	GOA	0
DUVEL	Aug	2012	CDG	5
DUVEL	Aug	2012	RAJ	5
DUVEL	Aug	2012	KOL	15
LIEFMANS	Aug	2012	DEL	100
LIEFMANS	Aug	2012	MUM	10
LIEFMANS	Aug	2012	PUN	5
LIEFMANS	Aug	2012	GGN	5
LIEFMANS	Aug	2012	GOA	0
LIEFMANS	Aug	2012	CDG	0
LIEFMANS	Aug	2012	RAJ	5
LIEFMANS	Aug	2012	KOL	0
CHIMAY	Aug	2012	DEL	75
