RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0500753	5	CHEQUE	51646	00:00.0	HSBC BANK	1070	NULL	27600	0	0	0	lallan	14:21.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0702169	5	CHEQUE	51645	00:00.0	HSBC BANK	1071	NULL	27200	0	0	0	lallan	25:52.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701983	5	CHEQUE	983393	00:00.0	CITI BANK	1072	NULL	28850	0	0	0	lallan	35:53.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701267	5	CHEQUE	698185	00:00.0	ICICI BANK	1073	NULL	13000	0	0	0	lallan	57:06.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802404	5	CHEQUE	760213	00:00.0	ICICI BANK	1074	NULL	26800	0	0	0	sreeja	58:45.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802405	5	CHEQUE	760212	00:00.0	ICICI BANK	1075	NULL	26800	0	0	0	sreeja	00:25.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802878	5	CHEQUE	189077	00:00.0	UNION BANK OF INDIA	1076	NULL	28450	0	0	0	lallan	13:51.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903674	5	CHEQUE	5223	00:00.0	HSBC BANK	1078		1650	0	0	0	admin	52:48.0	lallan	39:42.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802732	5	CHEQUE	311811	00:00.0	ABN AMRO	1079		6400	0	0	0	lallan	06:18.0	admin	22:40.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802374	5	CHEQUE	477820	00:00.0	CITI BANK	1080		26800	0	0	0	lallan	14:04.0	lallan	23:29.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802374	5	CHEQUE	477821	00:00.0	CITI BANK	1081		1650	0	0	0	lallan	14:43.0	lallan	23:29.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0500345	5	CHEQUE	440463	00:00.0	HDFC BANK	1082	NULL	29250	0	0	0	lallan	43:15.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
