UserId	RecId	Item	ItemType	Variety	ForeQty	ForeMonth	QltyParam	UnderKPK	UOM	ForeYear
nryadav	159	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
ramkishor0970	9919	Seed	Groundnut		1	May	Rasdar	KPK0970	qntls	2012
nacchuram0970	527	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
ganga0970	9869	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
jpyadav0970	9931	Fertilizer	Potash		2	May	Tata	KPK0970	bags	2012
jagmal0970	231	Fertilizer	Urea	Shri Ram	30	May	Shri Ram	KPK0970	bags	2012
kyadav0970	9940	Seed	Groundnut		3	May	Rasdar	KPK0970	qntls	2012
ramchandra0970	9906	Seed	Groundnut		5	May	Rasdar	KPK0970	qntls	2012
madan0970	9860	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
pdyadav0970	432	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
chittarmal0970	444	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
lryadav0970	492	Fertilizer	Urea	Shri Ram	4	May	Shri Ram	KPK0970	bags	2012
rlgurjar0970	9943	Seed	Groundnut		20	May	Rasdar	KPK0970	qntls	2012
kalu0970	15245	Fertilizer	DAP	IFFCO	7	May	IFFCO	kpk0970	bags	2012
sunda0970	166	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
raghu0970	556	Seed	Groundnut	NULL	2	March	Rasdar	KPK0970	qntls	2012
ganpat0970	324	Fertilizer	Urea	Shri Ram	10	May	Shri Ram	KPK0970	bags	2012
chittarmal0970	470	Seed	Groundnut	NULL	3	May	Rasdar	KPK0970	qntls	2012
bhagwan0970	9963	Fertilizer	Urea	Shri Ram	15	May	Shri Ram	KPK0970	bags	2012
prabhu0970	15242	Seed	Groundnut		10	June	Rasdar	kpk0970	qntls	2012
pdyadav10970	164	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
raghu0970	485	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
pyadav0970	493	Seed	Pearl Millet	NULL	0.05	May	Shankar	KPK0970	qntls	2012
ganpat0970	225	Seed	Groundnut	NULL	8	May	Rasdar	KPK0970	qntls	2012
godharam0970	227	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
prabhati0970	549	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
psyadav0970	436	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
pra0970	33	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
ryadav0970	477	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
klyadav0970	546	Seed	Groundnut	NULL	3	May	Rasdar	KPK0970	qntls	2012
jagdish0970	9925	Seed	Groundnut		2	May	Rasdar	KPK0970	qntls	2012
pyadav0970	551	Fertilizer	Gypsum	NULL	2	May	NULL	KPK0970	bags	2012
godharam0970	170	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
deva0970	199	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
Mohan0970	273	Seed	Groundnut	NULL	2	May	Rasdar	KPK0970	qntls	2012
narayan0970	9888	Seed	Groundnut		4	May	Rasdar	KPK0970	qntls	2012
kajod10970	15255	Seed	Pearl Millet		0.05	May	Mico	kpk0970	Qntls	2012
prahlad0970	391	Seed	Groundnut	NULL	0.05	May	Rasdar	KPK0970	qntls	2012
pyadav0970	363	Seed	Groundnut	NULL	2	May	Rasdar	KPK0970	qntls	2012
kishan0970	9922	Seed	Groundnut		10	May	Rasdar	KPK0970	qntls	2012
rlgurjar0970	9944	Seed	Pearl Millet		20	May	Pioneer	KPK0970	qntls	2012
bhagi0970	9959	Fertilizer	Urea	Shri Ram	15	May	Shri Ram	KPK0970	bags	2012
chotu0970	373	Fertilizer	Urea	NULL	4	May	Shriram	KPK0970	bags	2012
ramchandra0970	9905	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
ganga0970	9870	Seed	Groundnut		2	May	Rasdar	KPK0970	qntls	2012
