																																																																																																																									
			APRIL									MAY									JUNE									JULY									AUGUST									SEPTEMBER									OCTOBER									NOVEMBER									DECEMBER									JANUARY									FEBRUARY									MARCH									GTOTAL										
			DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	GTOT		HL
VOLUME	DUVEL										0	150	35	20	15	20	10		30	280	125	25	15	10		5		15	195	125	15	10	10		10		30	200	125	15	10	10		5	5	15	185	125	20	20	10	50	10	3	30	268	50	20	20	10	10	5	5	15	135	100	40	20	5	10		3	30	208	100	40	20	5	10		5	15	195	50	15	10	2				15	92	50	15	10	2	10		3	15	105	150	40	20	5	50			15	280	1150	280	175	84	160	45	24	225	2143		169.7256
	CHIMAY		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25		1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25												
	WEIHENSTEPHANER		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594		594	594	594	710.9952	710.9952	710.9952	710.9952	594												
	FRUEH		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579		579	579	579	692.1144	692.1144	692.1144	692.1144	579												
	ESTRELLA DAMM		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475		475	475	475	569.248	569.248	569.248	569.248	475												
	BROOKLYN LAGER		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650												
	BROOKLYN IPA		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650		650	650	650	772.304	772.304	772.304	772.304	650												
	SAISON DUPONT																																																																																																																								
																																																																																																															DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	GTOT		
CONSOLIDATED PROMOTIONAL BUDGET	DUVEL		0	0	0	0	0	0	0	0	0	43137	3765.3	2151.6	4313.7	5751.6	2875.8	0	8627.4	70622.4	35947.5	2689.5	1613.7	2875.8	0	1437.9	0	4313.7	48878.1	35947.5	1613.7	1075.8	2875.8	0	2875.8	0	8627.4	53016	35947.5	1613.7	1075.8	2875.8	0	1437.9	1437.9	4313.7	48702.3	35947.5	2151.6	2151.6	2875.8	14379	2875.8	862.74	8627.4	69871.44	14379	2151.6	2151.6	2875.8	2875.8	1437.9	1437.9	4313.7	31623.3	28758	4303.2	2151.6	1437.9	2875.8	0	862.74	8627.4	49016.64	28758	4303.2	2151.6	1437.9	2875.8	0	1437.9	4313.7	45278.1	14379	1613.7	1075.8	575.16	0	0	0	4313.7	21957.36	14379	1613.7	1075.8	575.16	2875.8	0	862.74	4313.7	25695.9	43137	4303.2	2151.6	1437.9	14379	0	0	4313.7	69722.4	330717	30122.4	18826.5	24156.72	46012.8	12941.1	6901.92	64705.5	534383.94		
	LIEFMANS		0	0	0	0	0	0	0	0	0	22458	891.6	668.7	3368.7	0	0	0	0	27387	22458	668.7	445.8	1122.9	0	0	0	0	24695.4	22458	445.8	222.9	1122.9	0	0	0	0	24249.6	22458	445.8	222.9	1122.9	0	0	1122.9	0	25372.5	22458	891.6	668.7	1122.9	0	0	673.74	0	25814.94	11229	891.6	668.7	1122.9	0	0	1122.9	0	15035.1	16843.5	891.6	668.7	1122.9	0	0	673.74	0	20200.44	16843.5	891.6	668.7	1122.9	0	0	1122.9	0	20649.6	11229	222.9	222.9	449.16	0	0	0	0	12123.96	16843.5	222.9	222.9	449.16	0	0	673.74	0	18412.2	22458	891.6	668.7	1122.9	0	0	0	0	25141.2	207736.5	7355.7	5349.6	13250.22	0	0	5389.92	0	239081.94		
	CHIMAY		0	0	0	0	0	0	0	0	0	18064.5	1521.5	1217.2	3612.9	0	2408.6	0	0	26824.7	18064.5	608.6	608.6	2408.6	0	1204.3	0	0	22894.6	18064.5	608.6	608.6	2408.6	0	2408.6	0	0	24098.9	18064.5	608.6	608.6	2408.6	0	1204.3	1204.3	0	24098.9	18064.5	1521.5	1217.2	2408.6	0	2408.6	722.58	0	26342.98	9634.4	1521.5	1217.2	2408.6	2408.6	1204.3	1204.3	0	19598.9	12043	1521.5	1217.2	1204.3	2408.6	0	722.58	0	19117.18	12043	1521.5	1217.2	1204.3	2408.6	0	1204.3	0	19598.9	9634.4	608.6	608.6	481.72	0	0	0	0	11333.32	9634.4	608.6	608.6	481.72	2408.6	0	722.58	0	14464.5	18064.5	1521.5	1217.2	1204.3	0	0	0	0	22007.5	161376.2	12172	10346.2	20232.24	9634.4	10838.7	5780.64	0	230380.38		
	WEIHENSTEPHANER		0	0	0	0	0	0	0	0	0	20891.25	3942	2463.75	5571	5571	0	0	0	38439	20891.25	2463.75	1478.25	2785.5	0	0	0	0	27618.75	20891.25	1478.25	985.5	2785.5	0	0	0	0	26140.5	20891.25	1478.25	985.5	2785.5	0	0	1392.75	0	27533.25	41782.5	3942	2463.75	6963.75	13927.5	0	835.65	0	69915.15	41782.5	3942	2463.75	4178.25	0	0	1392.75	0	53759.25	13927.5	2956.5	1478.25	1392.75	0	0	835.65	0	20590.65	13927.5	2956.5	1478.25	1392.75	0	0	1392.75	0	21147.75	13927.5	985.5	985.5	835.65	0	0	0	0	16734.15	13927.5	985.5	985.5	835.65	0	0	835.65	0	17569.8	27855	2956.5	1478.25	1392.75	13927.5	0	0	0	47610	250695	28086.75	17246.25	30919.05	33426	0	6685.2	0	367058.25		
	FRUEH		0	0	0	0	0	0	0	0	0	20198.25	3572.4	2232.75	5386.2	0	2693.1	0	0	34082.7	20198.25	2232.75	1339.65	2693.1	0	1346.55	0	0	27810.3	20198.25	1339.65	893.1	2693.1	0	2693.1	0	0	27817.2	20198.25	1339.65	893.1	2693.1	0	1346.55	1346.55	0	27817.2	40396.5	3572.4	2232.75	6732.75	0	2693.1	807.93	0	56435.43	40396.5	3572.4	2232.75	4039.65	2693.1	1346.55	1346.55	0	55627.5	13465.5	2679.3	1339.65	1346.55	2693.1	0	807.93	0	22332.03	13465.5	2679.3	1339.65	1346.55	2693.1	0	1346.55	0	22870.65	13465.5	893.1	893.1	538.62	0	0	0	0	15790.32	13465.5	893.1	893.1	538.62	2693.1	0	807.93	0	19291.35	26931	2679.3	1339.65	1346.55	0	0	0	0	32296.5	242379	25453.35	15629.25	29354.79	10772.4	12118.95	6463.44	0	342171.18		
	ESTRELLA DAMM		0	0	0	0	0	0	0	0	0	31073	5304.75	3536.5	12429.2	12429.2	6214.6	0	12429.2	83416.45	46609.5	5304.75	2829.2	15536.5	0	3107.3	0	6214.6	79601.85	31073	2829.2	1768.25	10875.55	15536.5	6214.6	0	12429.2	80726.3	31073	2121.9	1768.25	10875.55	0	3107.3	4660.95	6214.6	59821.55	31073	5304.75	3536.5	9321.9	15536.5	6214.6	3107.3	12429.2	86523.75	23304.75	5304.75	3536.5	7768.25	6214.6	3107.3	4660.95	6214.6	60111.7	31073	5304.75	3182.85	4660.95	6214.6	0	3107.3	12429.2	65972.65	31073	5304.75	3182.85	4660.95	6214.6	0	4660.95	6214.6	61311.7	23304.75	2121.9	1768.25	3107.3	0	0	0	6214.6	36516.8	23304.75	2121.9	1768.25	3107.3	6214.6	0	3107.3	6214.6	45838.7	46609.5	5304.75	3182.85	4660.95	15536.5	0	0	6214.6	81509.15	349571.25	46328.15	30060.25	87004.4	83897.1	27965.7	23304.75	93219	741350.6		
	BROOKLYN LAGER		0	0	0	0	0	0	0	0	0	14040	1344	1008	1872	3744	0	0	0	22008	14040	1008	1008	936	0	0	0	0	16992	28080	1008	1008	1872	0	0	0	0	31968	28080	1008	1008	1872	0	0	936	0	32904	14040	1008	1008	936	0	0	374.4	0	17366.4	9360	1008	1008	1872	0	0	936	0	14184	9360	1008	1008	936	0	0	374.4	0	12686.4	9360	1008	1008	936	0	0	936	0	13248	9360	672	336	374.4	0	0	0	0	10742.4	9360	672	336	374.4	0	0	374.4	0	11116.8	18720	1008	1008	936	0	0	0	0	21672	163800	10752	9744	12916.8	3744	0	3931.2	0	204888		
	BROOKLYN IPA		0	0	0	0	0	0	0	0	0	9360	1344	672	936	0	0	0	5616	17928	9360	1008	336	0	0	0	0	2808	13512	14040	1008	1008	1872	0	0	0	5616	23544	14040	1008	1008	1872	0	0	936	2808	21672	9360	1008	336	936	0	0	561.6	5616	17817.6	6552	1008	336	1872	0	0	936	2808	13512	6552	1008	336	936	0	0	561.6	5616	15009.6	6552	1008	336	936	0	0	936	2808	12576	6552	672	336	374.4	0	0	0	2808	10742.4	6552	672	336	374.4	0	0	561.6	2808	11304	14040	1008	336	936	0	0	0	2808	19128	102960	10752	5376	11044.8	0	0	4492.8	42120	176745.6		
	SAISON DUPONT										0									0									0									0									0									0									0									0									0									0									0									0	0	0	0	0	0	0	0	0	0		
	TOTALS		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	179222.00	21685.55	13950.50	37489.70	27495.80	14192.10	0.00	26672.60	320708.25	187569.00	15984.05	9659.20	28358.40	0.00	7096.05	0.00	13336.30	262003.00	190752.50	10331.20	7570.15	26505.45	15536.50	14192.10	0.00	26672.60	291560.50	190752.50	9623.90	7570.15	26505.45	0.00	7096.05	13037.35	13336.30	267921.70	213122.00	19399.85	13614.50	31297.70	43843.00	14192.10	7945.94	26672.60	370087.69	156638.15	19399.85	13614.50	26137.45	14192.10	7096.05	13037.35	13336.30	263451.75	132022.50	19672.85	11382.25	13037.35	14192.10	0.00	7945.94	26672.60	224925.59	132022.50	19672.85	11382.25	13037.35	14192.10	0.00	13037.35	13336.30	216680.70	101852.15	7789.70	6226.15	6736.41	0.00	0.00	0.00	13336.30	135940.71	107466.65	7789.70	6226.15	6736.41	14192.10	0.00	7945.94	13336.30	163693.25	217815.00	19672.85	11382.25	13037.35	43843.00	0.00	0.00	13336.30	319086.75	1809234.95	171022.35	112578.05	228879.02	187486.70	63864.45	62949.87	200044.50	2836059.89		11%
																																																																																																																									
																																																																																																																									
PROFIT NET OF PROMOTIONS	DUVEL		0	0	0	0	0	0	0	0	0	137325	32042.5	18310	16550.868	22067.824	11033.912	0	27465	264795.104	114437.5	22887.5	13732.5	11033.912	0	5516.956	0	13732.5	181340.868	114437.5	13732.5	9155	11033.912	0	11033.912	0	27465	186857.824	114437.5	13732.5	9155	11033.912	0	5516.956	5516.956	13732.5	173125.324	114437.5	18310	18310	11033.912	55169.56	11033.912	3310.1736	27465	259070.0576	45775	18310	18310	11033.912	11033.912	5516.956	5516.956	13732.5	129229.236	91550	36620	18310	5516.956	11033.912	0	3310.1736	27465	193806.0416	91550	36620	18310	5516.956	11033.912	0	5516.956	13732.5	182280.324	45775	13732.5	9155	2206.7824	0	0	0	13732.5	84601.7824	45775	13732.5	9155	2206.7824	11033.912	0	3310.1736	13732.5	98945.868	137325	36620	18310	5516.956	55169.56	0	0	13732.5	266674.016	1052825	256340	160212.5	92684.8608	176542.592	49652.604	26481.3888	205987.5	2020726.446		
	LIEFMANS		0	0	0	0	0	0	0	0	0	74050	14810	11107.5	13308.468	0	0	0	0	113275.968	74050	11107.5	7405	4436.156	0	0	0	0	96998.656	74050	7405	3702.5	4436.156	0	0	0	0	89593.656	74050	7405	3702.5	4436.156	0	0	4436.156	0	94029.812	74050	14810	11107.5	4436.156	0	0	2661.6936	0	107065.3496	37025	14810	11107.5	4436.156	0	0	4436.156	0	71814.812	55537.5	14810	11107.5	4436.156	0	0	2661.6936	0	88552.8496	55537.5	14810	11107.5	4436.156	0	0	4436.156	0	90327.312	37025	3702.5	3702.5	1774.4624	0	0	0	0	46204.4624	55537.5	3702.5	3702.5	1774.4624	0	0	2661.6936	0	67378.656	74050	14810	11107.5	4436.156	0	0	0	0	104403.656	684962.5	122182.5	88860	52346.6408	0	0	21293.5488	0	969645.1896		
	CHIMAY		0	0	0	0	0	0	0	0	0	84018.75	28006.25	22405	20217.846	0	13478.564	0	0	168126.41	84018.75	11202.5	11202.5	13478.564	0	6739.282	0	0	126641.596	84018.75	11202.5	11202.5	13478.564	0	13478.564	0	0	133380.878	84018.75	11202.5	11202.5	13478.564	0	6739.282	6739.282	0	133380.878	84018.75	28006.25	22405	13478.564	0	13478.564	4043.5692	0	165430.6972	44810	28006.25	22405	13478.564	13478.564	6739.282	6739.282	0	135656.942	56012.5	28006.25	22405	6739.282	13478.564	0	4043.5692	0	130685.1652	56012.5	28006.25	22405	6739.282	13478.564	0	6739.282	0	133380.878	44810	11202.5	11202.5	2695.7128	0	0	0	0	69910.7128	44810	11202.5	11202.5	2695.7128	13478.564	0	4043.5692	0	87432.846	84018.75	28006.25	22405	6739.282	0	0	0	0	141169.282	750567.5	224050	190442.5	113219.9376	53914.256	60653.538	32348.5536	0	1425196.285		
	WEIHENSTEPHANER		0	0	0	0	0	0	0	0	0	44550	23760	14850	14219.904	14219.904	0	0	0	111599.808	44550	14850	8910	7109.952	0	0	0	0	75419.952	44550	8910	5940	7109.952	0	0	0	0	66509.952	44550	8910	5940	7109.952	0	0	3554.976	0	70064.928	89100	23760	14850	17774.88	35549.76	0	2132.9856	0	183167.6256	89100	23760	14850	10664.928	0	0	3554.976	0	141929.904	29700	17820	8910	3554.976	0	0	2132.9856	0	62117.9616	29700	17820	8910	3554.976	0	0	3554.976	0	63539.952	29700	5940	5940	2132.9856	0	0	0	0	43712.9856	29700	5940	5940	2132.9856	0	0	2132.9856	0	45845.9712	59400	17820	8910	3554.976	35549.76	0	0	0	125234.736	534600	169290	103950	78920.4672	85319.424	0	17063.8848	0	989143.776		
	FRUEH		0	0	0	0	0	0	0	0	0	43425	23160	14475	13842.288	0	6921.144	0	0	101823.432	43425	14475	8685	6921.144	0	3460.572	0	0	76966.716	43425	8685	5790	6921.144	0	6921.144	0	0	71742.288	43425	8685	5790	6921.144	0	3460.572	3460.572	0	71742.288	86850	23160	14475	17302.86	0	6921.144	2076.3432	0	150785.3472	86850	23160	14475	10381.716	6921.144	3460.572	3460.572	0	148709.004	28950	17370	8685	3460.572	6921.144	0	2076.3432	0	67463.0592	28950	17370	8685	3460.572	6921.144	0	3460.572	0	68847.288	28950	5790	5790	1384.2288	0	0	0	0	41914.2288	28950	5790	5790	1384.2288	6921.144	0	2076.3432	0	50911.716	57900	17370	8685	3460.572	0	0	0	0	87415.572	521100	165015	101325	75440.4696	27684.576	31145.148	16610.7456	0	938320.9392		
	ESTRELLA DAMM		0	0	0	0	0	0	0	0	0	47500	35625	23750	22769.92	22769.92	11384.96	0	19000	182799.8	71250	35625	19000	28462.4	0	5692.48	0	9500	169529.88	47500	19000	11875	19923.68	28462.4	11384.96	0	19000	157146.04	47500	14250	11875	19923.68	0	5692.48	8538.72	9500	117279.88	47500	35625	23750	17077.44	28462.4	11384.96	5692.48	19000	188492.28	35625	35625	23750	14231.2	11384.96	5692.48	8538.72	9500	144347.36	47500	35625	21375	8538.72	11384.96	0	5692.48	19000	149116.16	47500	35625	21375	8538.72	11384.96	0	8538.72	9500	142462.4	35625	14250	11875	5692.48	0	0	0	9500	76942.48	35625	14250	11875	5692.48	11384.96	0	5692.48	9500	94019.92	71250	35625	21375	8538.72	28462.4	0	0	9500	174751.12	534375	311125	201875	159389.44	153696.96	51232.32	42693.6	142500	1596887.32		
	BROOKLYN LAGER		0	0	0	0	0	0	0	0	0	48750	13000	9750	7723.04	15446.08	0	0	0	94669.12	48750	9750	9750	3861.52	0	0	0	0	72111.52	97500	9750	9750	7723.04	0	0	0	0	124723.04	97500	9750	9750	7723.04	0	0	3861.52	0	128584.56	48750	9750	9750	3861.52	0	0	1544.608	0	73656.128	32500	9750	9750	7723.04	0	0	3861.52	0	63584.56	32500	9750	9750	3861.52	0	0	1544.608	0	57406.128	32500	9750	9750	3861.52	0	0	3861.52	0	59723.04	32500	6500	3250	1544.608	0	0	0	0	43794.608	32500	6500	3250	1544.608	0	0	1544.608	0	45339.216	65000	9750	9750	3861.52	0	0	0	0	88361.52	568750	104000	94250	53288.976	15446.08	0	16218.384	0	851953.44		
	BROOKLYN IPA		0	0	0	0	0	0	0	0	0	32500	13000	6500	3861.52	0	0	0	19500	75361.52	32500	9750	3250	0	0	0	0	9750	55250	48750	9750	9750	7723.04	0	0	0	19500	95473.04	48750	9750	9750	7723.04	0	0	3861.52	9750	89584.56	32500	9750	3250	3861.52	0	0	2316.912	19500	71178.432	22750	9750	3250	7723.04	0	0	3861.52	9750	57084.56	22750	9750	3250	3861.52	0	0	2316.912	19500	61428.432	22750	9750	3250	3861.52	0	0	3861.52	9750	53223.04	22750	6500	3250	1544.608	0	0	0	9750	43794.608	22750	6500	3250	1544.608	0	0	2316.912	9750	46111.52	48750	9750	3250	3861.52	0	0	0	9750	75361.52	357500	104000	52000	45565.936	0	0	18535.296	146250	723851.232		
	SAISON DUPONT		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
	TOTALS		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	512118.75	183403.75	121147.50	112493.85	74503.73	42818.58	0.00	65965.00	1112451.16	512981.25	129647.50	81935.00	75303.65	0.00	21409.29	0.00	32982.50	854259.19	554231.25	88435.00	67165.00	78349.49	28462.40	42818.58	0.00	65965.00	925426.72	554231.25	83685.00	67165.00	78349.49	0.00	21409.29	39969.70	32982.50	877792.23	577206.25	163171.25	117897.50	88826.85	119181.72	42818.58	23778.77	65965.00	1198845.92	394435.00	163171.25	117897.50	79672.56	42818.58	21409.29	39969.70	32982.50	892356.38	364500.00	169751.25	103792.50	39969.70	42818.58	0.00	23778.77	65965.00	810575.80	364500.00	169751.25	103792.50	39969.70	42818.58	0.00	39969.70	32982.50	793784.23	277135.00	67617.50	54165.00	18975.87	0.00	0.00	0.00	32982.50	450875.87	295647.50	67617.50	54165.00	18975.87	42818.58	0.00	23778.77	32982.50	535985.71	597693.75	169751.25	103792.50	39969.70	119181.72	0.00	0.00	32982.50	1063371.42	5004680.00	1456002.50	992915.00	670856.73	512603.89	192683.61	191245.40	494737.50	9515724.63		37%
																																																																																																																									
																																																																																																																									
																																																																																																																									
			FEB				MAR				APR				MAY				JUN				JUL				AUG				SEP				OCT				NOV				DEC				JAN				FEB				MAR																																																																		
			Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock	Opening Stock	Purchase	Sale	Closing Stock																																																															
	DUVEL		776	0	235	541	541	90	300	331	331	200	0	531	531	200	280	451	451	200	195	456	456	200	200	456	456	200	185	471	471	200	268	403	403	200	135	468	468	150	208	410	410	300	195	515	515		92	423	423		105	318	318	150	280	188																																																															
	LIEFMANS		256	0	156	100	100	200	100	200	200	150	0	350	350	100	150	300	300	200	130	370	370	200	120	450	450	100	125	425	425	100	143	382	382	100	95	387	387	100	118	369	369	150	120	399	399		62	337	337		90	247	247	150	140	257																																																															
	CHIMAY		144	0	119	25	25	180	25	180	180	125	0	305	305	120	145	280	280	120	110	290	290	250	115	425	425	150	115	460	460	100	143	417	417	100	115	402	402	100	113	389	389		115	274	274		62	212	212		75	137	137	150	125	162																																																															
	WEIHENSTEPHANER		0	0	0	0	0	220	0	220	220	150	0	370	370	120	180	310	310	200	125	385	385	350	110	625	625	100	115	610	610	150	293	467	467	100	235	332	332	250	103	479	479		105	374	374		73	301	301		76	225	225	150	200	175																																																															
	FRUEH		0	0	0	0	0	190	0	190	190	150	0	340	340	150	170	320	320	200	130	390	390	400	120	670	670	100	120	650	650	150	253	547	547	100	250	397	397	200	113	484	484		115	369	369		72	297	297		85	212	212	150	150	212																																																															
	ESTRELLA DAMM		0	0	0	0	0	400	0	400	400	400	0	800	800	300	365	735	735	250	345	640	640	300	310	630	630	300	235	695	695	300	375	620	620	300	290	630	630	300	305	625	625	500	290	835	835		160	675	675		190	485	485		355	130																																																															
	BROOKLYN LAGER		360	0	165	195	195	575	195	575	575		0	575	575		140	435	435	500	110	825	825		190	635	635		195	440	440		112	328	328	550	95	783	783		87	696	696		90	606	606		67	539	539		69	470	470		135	335																																																															
	BROOKLYN IPA		15	0	15	0	0	375	0	375	375		0	375	375		115	260	260	460	85	635	635		145	490	490		135	355	355		108	247	247	400	85	562	562		93	469	469		80	389	389		67	322	322		70	252	252		115	137																																																															
	SAISON DUPONT		10	0	10	0	0		0	0	0		0	0	0		0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0																																																															
	TOTALS		1561	0	700	861	861	2230	620	2471	2471	1175	0	3646	3646	990	1545	3091	3091	2130	1230	3991	3991	1700	1310	4381	4381	950	1225	4106	4106	1000	1695	3411	3411	1850	1300	3961	3961	1100	1140	3921	3921	950	1110	3761	3761	0	655	3106	3106	0	760	2346	2346	750	1500	1596																																																															
																																																																																																																									
																																																																																																																									
			FEB				MAR				APR				MAY				JUN				JUL				AUG				SEP				OCT				NOV				DEC				JAN				FEB				MAR																																																																		
			OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH	OPENING STOCK	NET STOCK IN WH (NET OF LAST 30 DAYS PURCHASE)	PROJECTED SALE	NET CLOSING STOCK IN WH																																																															
